1641629235331385088,0.08273,0.01302,0.01556,-0.77945,0.03242,0.07077,0.62161,
1641629235381385216,0.09669,0.01429,0.00618,-0.78424,0.03328,0.04957,0.61758,
1641629235431385344,0.11323,0.01352,0.00035,-0.78577,0.03676,0.02970,0.61671,
1641629235481385216,0.12866,0.01577,0.00047,-0.78969,0.03803,0.01535,0.61214,
1641629235531385088,0.14636,0.01387,0.00328,-0.79053,0.03627,-0.00121,0.61135,
1641629235581385216,0.16344,0.00973,0.01033,-0.78856,0.03083,-0.02382,0.61372,
1641629235631385344,0.17735,0.00600,0.02179,-0.78040,0.02236,-0.04791,0.62304,
1641629235681385216,0.18834,0.00231,0.03674,-0.77024,0.01089,-0.06940,0.63388,
1641629235731385344,0.19730,-0.00031,0.05259,-0.76170,-0.00307,-0.08816,0.64190,
1641629235781385216,0.20374,-0.00188,0.06821,-0.75669,-0.01557,-0.10180,0.64561,
1641629235831385088,0.20514,-0.00376,0.08142,-0.75158,-0.02742,-0.10981,0.64986,
1641629235881385216,0.20457,-0.00441,0.09121,-0.74739,-0.04441,-0.11937,0.65206,
1641629235931385344,0.19946,-0.00543,0.09759,-0.74075,-0.06083,-0.13336,0.65560,
1641629235981385216,0.18987,-0.00703,0.10097,-0.73733,-0.07906,-0.14611,0.65479,
1641629236031385088,0.17702,-0.00847,0.09901,-0.73951,-0.09743,-0.15081,0.64876,
1641629236081385216,0.16249,-0.00890,0.09117,-0.74616,-0.11141,-0.14613,0.63991,
1641629236131385344,0.14715,-0.00936,0.07792,-0.75795,-0.12690,-0.13347,0.62578,
1641629236181385216,0.13140,-0.00952,0.05989,-0.76883,-0.14026,-0.12019,0.61219,
1641629236231385344,0.11450,-0.01037,0.03879,-0.77698,-0.15503,-0.10966,0.60020,
1641629236281385216,0.09676,-0.01230,0.01930,-0.78257,-0.16591,-0.09519,0.59246,
1641629236331385088,0.07821,-0.01581,0.00225,-0.79120,-0.17575,-0.07477,0.58097,
1641629236381385216,0.05884,-0.02070,-0.01127,-0.79953,-0.18300,-0.04589,0.57022,
1641629236431385344,0.03916,-0.02557,-0.02097,-0.80556,-0.18939,-0.01622,0.56119,
1641629236481385216,0.01930,-0.03118,-0.02816,-0.80711,-0.19723,0.01192,0.55635,
1641629236531385088,-0.00007,-0.03776,-0.03176,-0.80538,-0.20913,0.03906,0.55326,
1641629236581385216,-0.01852,-0.04484,-0.03123,-0.80002,-0.22312,0.06607,0.55301,
1641629236631385344,-0.03439,-0.05228,-0.02520,-0.79180,-0.23681,0.09338,0.55521,
1641629236681385216,-0.04675,-0.05938,-0.01294,-0.77885,-0.24821,0.11896,0.56359,
1641629236731385344,-0.05674,-0.06715,0.00314,-0.76320,-0.25328,0.14231,0.57717,
1641629236781385216,-0.06464,-0.07485,0.02217,-0.74764,-0.25284,0.16232,0.59225,
1641629236831385088,-0.06822,-0.08372,0.04396,-0.73382,-0.24975,0.18131,0.60520,
1641629236881385216,-0.06655,-0.08899,0.06788,-0.72093,-0.24230,0.20188,0.61708,
